,node_idx,AirportID,Airline,Stops,DestAirportID,SourceAirportID,DestSourceRatio,Country
1830,1830,3714,39.0,0.0,196.0,190.0,1.0315789473684212,United States
1831,1831,3715,3.0,0.0,3.0,3.0,1.0,United States
1832,1832,3717,12.0,0.0,65.0,60.0,1.0833333333333333,United States
1833,1833,3718,2.0,0.0,2.0,2.0,1.0,United States
1834,1834,3719,2.0,0.0,4.0,4.0,1.0,United States
1835,1835,3720,16.0,0.0,113.0,117.0,0.9658119658119658,United States
1836,1836,3722,14.0,0.0,44.0,44.0,1.0,United States
1837,1837,3724,1.0,0.0,1.0,1.0,1.0,United States
1838,1838,3726,1.0,0.0,2.0,2.0,1.0,United States
1839,1839,3728,26.0,0.0,118.0,115.0,1.0260869565217392,United States
1840,1840,3729,10.0,0.0,29.0,28.0,1.0357142857142858,United States
1841,1841,3730,5.0,0.0,5.0,5.0,1.0,United States
1842,1842,3731,29.0,0.0,119.0,119.0,1.0,United States
1843,1843,3732,6.0,0.0,6.0,6.0,1.0,United States
1844,1844,3734,9.0,0.0,24.0,26.0,0.9230769230769231,United States
1845,1845,3736,2.0,0.0,2.0,2.0,1.0,United States
1846,1846,3738,3.0,0.0,3.0,3.0,1.0,United States
1847,1847,3739,3.0,0.0,3.0,3.0,1.0,United States
1848,1848,3743,3.0,0.0,9.0,9.0,1.0,United States
1849,1849,3744,5.0,0.0,5.0,5.0,1.0,United States
1850,1850,3745,10.0,0.0,26.0,26.0,1.0,United States
1851,1851,3747,10.0,0.0,139.0,132.0,1.053030303030303,United States
1852,1852,3748,15.0,0.0,60.0,60.0,1.0,United States
1853,1853,3749,1.0,0.0,1.0,1.0,1.0,United States
1854,1854,3751,24.0,0.0,361.0,374.0,0.9652406417112299,United States
1855,1855,3752,23.0,0.0,289.0,287.0,1.0069686411149825,United States
1856,1856,3753,2.0,0.0,2.0,2.0,1.0,United States
1857,1857,3754,1.0,0.0,2.0,2.0,1.0,United States
1858,1858,3759,14.0,0.0,63.0,65.0,0.9692307692307692,United States
1859,1859,3764,2.0,0.0,7.0,7.0,1.0,United States
1860,1860,3770,2.0,0.0,2.0,2.0,1.0,United States
1861,1861,3771,4.0,0.0,7.0,7.0,1.0,United States
1862,1862,3774,9.0,0.0,59.0,59.0,1.0,United States
1863,1863,3775,6.0,0.0,6.0,6.0,1.0,United States
1864,1864,3777,2.0,0.0,10.0,10.0,1.0,United States
1865,1865,3782,6.0,0.0,9.0,9.0,1.0,United States
1866,1866,3784,4.0,0.0,6.0,6.0,1.0,United States
1867,1867,3790,1.0,0.0,1.0,1.0,1.0,United States
1868,1868,3793,19.0,0.0,63.0,65.0,0.9692307692307692,United States
1869,1869,3794,3.0,0.0,7.0,7.0,1.0,United States
1870,1870,3796,1.0,0.0,2.0,2.0,1.0,United States
1871,1871,3797,74.0,0.0,456.0,455.0,1.0021978021978022,United States
1872,1872,3804,3.0,0.0,6.0,6.0,1.0,United States
1873,1873,3805,1.0,0.0,1.0,1.0,1.0,United States
1874,1874,3806,12.0,0.0,34.0,35.0,0.9714285714285714,United States
1875,1875,3807,8.0,0.0,27.0,29.0,0.9310344827586207,United States
1876,1876,3808,7.0,0.0,21.0,20.0,1.05,United States
1877,1877,3811,12.0,0.0,36.0,35.0,1.0285714285714285,United States
1878,1878,3816,1.0,0.0,1.0,1.0,1.0,United States
1879,1879,3817,14.0,0.0,55.0,53.0,1.0377358490566038,United States
1880,1880,3819,7.0,0.0,13.0,14.0,0.9285714285714286,United States
1881,1881,3820,10.0,0.0,36.0,35.0,1.0285714285714285,United States
1882,1882,3824,1.0,0.0,1.0,1.0,1.0,United States
1883,1883,3825,13.0,0.0,51.0,52.0,0.9807692307692307,United States
1884,1884,3826,5.0,0.0,6.0,6.0,1.0,United States
1885,1885,3829,5.0,0.0,10.0,9.0,1.1111111111111112,United States
1886,1886,3830,46.0,0.0,558.0,550.0,1.0145454545454546,United States
1887,1887,3832,5.0,0.0,26.0,26.0,1.0,United States
1888,1888,3838,2.0,0.0,4.0,4.0,1.0,United States
1889,1889,3839,10.0,0.0,26.0,25.0,1.04,United States
1890,1890,3840,5.0,0.0,10.0,9.0,1.1111111111111112,United States
1891,1891,3843,1.0,0.0,1.0,1.0,1.0,United States
1892,1892,3845,6.0,0.0,13.0,13.0,1.0,United States
1893,1893,3846,6.0,0.0,8.0,8.0,1.0,United States
1894,1894,3848,3.0,0.0,3.0,3.0,1.0,United States
1895,1895,3849,17.0,0.0,142.0,144.0,0.9861111111111112,United States
1896,1896,3851,3.0,0.0,4.0,3.0,1.3333333333333333,United States
